City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Miandoab,IR,82.78,clear sky,36.9694,46.1027,هتل برنجیان
601,Guhagar,IN,78.76,broken clouds,17.4842,73.1929,Hotel Seawinds
604,San Jose,US,89.26,few clouds,37.3394,-121.895,The Westin San Jose
605,Nimes,FR,76.39,clear sky,43.8333,4.35,Hôtel Cesar
606,Maragogi,BR,74.21,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
607,Pucallpa,PE,86.04,scattered clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
609,Callaway,US,82.98,overcast clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
613,Correntina,BR,78.67,few clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
618,Manokwari,ID,78.57,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
619,Tebingtinggi,ID,74.62,moderate rain,3.3285,99.1625,Hotel Malibou tebing tinggi
621,Aksu,CN,81.32,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
623,Bareli,IN,81.21,clear sky,28.35,79.4167,Hotel Amaya
624,Urumqi,CN,72.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
625,Sao Felix Do Xingu,BR,83.1,clear sky,-6.6447,-51.995,Rio Xingu Camping
627,Mayo,US,89.46,broken clouds,38.8876,-76.5119,Resorts Resource Group International
628,Formosa Do Rio Preto,BR,80.37,clear sky,-11.0483,-45.1931,Porto Center Hotel
630,Fort-Shevchenko,KZ,85.32,scattered clouds,44.5086,50.263,Oasis hotel Bautino
634,Kangaba,ML,74.23,light rain,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
636,La Asuncion,VE,87.53,broken clouds,11.0333,-63.8628,Colinas de Matasiete
637,Bandarbeyla,SO,76.6,overcast clouds,9.4942,50.8122,JABIR HOTEL
640,Totness,SR,79.81,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
641,Nicoya,CR,78.31,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
645,Casablanca,MA,73.62,broken clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
653,Makokou,GA,71.76,broken clouds,0.5738,12.8642,Hôtel
654,Sisophon,KH,75.81,light rain,13.5859,102.9737,Pyramid Hotel
657,Dakar,SN,83.28,few clouds,14.6937,-17.4441,Novotel Dakar
