City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Jinchang,CN,38.4953,102.1739,77.5,68,16,3.42,few clouds
294,Champerico,GT,14.3,-91.9167,93.74,66,17,5.14,few clouds
295,Teya,RU,60.3778,92.6267,42.75,95,0,2.93,clear sky
296,Las Cruces,US,32.3123,-106.7783,83.16,44,0,11.5,clear sky
297,Daru,PG,-9.0763,143.2092,76.71,82,100,14.52,overcast clouds
298,Cabras,IT,39.93,8.5314,72.25,72,0,4.29,clear sky
299,Saskylakh,RU,71.9167,114.0833,43.66,69,100,7.09,overcast clouds
300,Roald,NO,62.5833,6.1333,61.16,94,75,8.05,broken clouds
301,Constitucion,CL,-35.3333,-72.4167,50.49,79,0,5.66,clear sky
302,Barroso,BR,-21.1869,-43.9758,59.18,57,34,11.32,scattered clouds
303,Sile,TR,41.1754,29.6133,72.27,82,0,1.1,clear sky
304,Hami,CN,42.8,93.45,85.05,30,32,14.56,scattered clouds
305,Kopong,BW,-24.4833,25.8833,57.43,44,0,4.61,clear sky
306,Buncrana,IE,55.1333,-7.45,60.57,95,1,2.21,clear sky
307,Kralendijk,BQ,12.15,-68.2667,85.98,74,75,18.41,broken clouds
308,Katherine,AU,-14.4667,132.2667,66.52,72,1,4.61,clear sky
309,Fairbanks,US,64.8378,-147.7164,69.6,48,40,3.44,light rain
310,Slantsy,RU,59.1182,28.0914,61.81,78,99,7.02,overcast clouds
311,Ponta Do Sol,PT,32.6667,-17.1,71.71,75,55,2.44,broken clouds
312,Rangpur,BD,25.75,89.25,78.87,86,50,7.2,scattered clouds
313,Listvyagi,RU,53.6772,86.951,62.33,93,85,1.95,overcast clouds
314,Conceicao Do Araguaia,BR,-8.2578,-49.2647,85.26,30,27,3.31,scattered clouds
315,Guilin,CN,25.2819,110.2864,75.31,96,3,1.14,clear sky
316,Rahden,DE,52.4333,8.6167,73.36,45,3,6.58,clear sky
317,Osakarovka,KZ,50.565,72.5692,58.35,89,18,6.96,few clouds
318,Kichmengskiy Gorodok,RU,59.9816,45.7854,57.29,77,100,7.36,overcast clouds
319,Asfi,MA,32.2994,-9.2372,71.53,78,0,12.95,clear sky
320,Sydney,AU,-33.8679,151.2073,57.76,77,75,10.36,light rain
321,Umm Kaddadah,SD,13.6017,26.6876,77.34,76,100,15.64,light rain
322,Hasaki,JP,35.7333,140.8333,82.8,81,18,23.11,few clouds
323,Okhotsk,RU,59.3833,143.3,58.01,93,100,3.24,overcast clouds
324,Bujaru,BR,-1.515,-48.0447,78.19,80,85,4.59,overcast clouds
325,Pangnirtung,CA,66.1451,-65.7125,51.8,71,20,5.75,few clouds
326,Bac Giang,VN,21.2667,106.2,77.07,97,100,4.59,overcast clouds
327,Wajir,KE,1.7471,40.0573,73.54,62,48,17.72,scattered clouds
328,Nizhnevartovsk,RU,60.9344,76.5531,57.22,82,0,4.47,clear sky
329,Ibra,OM,22.6906,58.5334,87.87,51,97,2.93,overcast clouds
330,Sinnamary,GF,5.3833,-52.95,80.1,78,35,7.72,scattered clouds
331,Aykhal,RU,66.0,111.5,44.62,96,100,20.83,light rain
332,Quatre Cocos,MU,-20.2078,57.7625,69.1,65,86,16.6,overcast clouds
333,Bethel,US,41.3712,-73.414,88.74,49,20,1.01,few clouds
334,Caravelas,BR,-17.7125,-39.2481,72.99,68,100,11.48,overcast clouds
335,Vanimo,PG,-2.6741,141.3028,78.67,83,54,3.62,broken clouds
336,Sheltozero,RU,61.3667,35.3667,64.92,70,100,16.33,overcast clouds
337,Tonj,SS,7.2737,28.6822,69.12,99,99,3.6,overcast clouds
338,Auki,SB,-8.7676,160.7034,79.32,82,100,2.39,overcast clouds
339,Hit,IQ,33.6416,42.8251,90.05,23,0,11.01,clear sky
340,Pingyi,CN,35.5006,117.6308,79.25,88,94,1.99,overcast clouds
341,Briancon,FR,44.9,6.65,63.5,70,37,2.19,scattered clouds
342,Tecpan,GT,14.7623,-90.9947,63.9,75,91,5.12,overcast clouds
343,Eyrarbakki,IS,63.863,-21.1481,50.05,96,100,13.6,overcast clouds
344,Ternate,ID,0.8,127.4,80.19,79,25,1.92,scattered clouds
